ChangeN,ChangeC,PB,Tmax,Tmin,Tave,Crop,WPCT,WPNT,FCT,FNT,RCT,RNT,SCCT,SCNT,IrrigationCT,IrrigationNT,ST,Latitude,Longitude,NTyear
-0.04379562,0,-287.0888376,39.39245999,5.029379568,26.13333337,wheat.winter,2,2,1,1,0,0,0,1,1,1,4,30.9,75.8,2
-0.08712032,0,-287.0888376,39.39245999,5.029379568,26.13333337,wheat.winter,2,2,1,1,0,0,0,1,1,1,4,30.9,75.8,2
-0.395833333,0,-41.90565279,19.18953385,2.330382029,10.72000008,barley.spring,2,2,3,3,0,0,0,1,2,2,4,55.7,-120.35,15
-0.012195122,0,-80.9565739,25.2400808,3.026642092,14.54000015,wheat.spring,2,2,1,1,0,0,0,1,2,2,4,50.78,-106.5,2
-0.083969466,0,-210.7862664,29.52202975,3.621059418,14.73999977,wheat.spring,2,2,1,1,0,0,0,1,2,2,4,50.78,-106.5,4
0.009202454,1,-166.1156466,26.91782502,5.669772847,16.18000011,wheat.spring,2,2,1,1,0,0,0,1,2,2,4,50.78,-106.5,3
0.118644068,1,-210.7862664,29.52202975,3.621059418,14.73999977,wheat.spring,2,2,1,1,0,0,0,1,2,2,4,50.78,-106.5,4
-0.142857143,0,-166.1156466,26.91782502,5.669772847,16.18000011,wheat.spring,2,2,1,1,0,0,0,1,2,2,4,50.78,-106.5,3
0.099415205,1,-210.7862664,29.52202975,3.621059418,14.73999977,wheat.spring,2,2,1,1,0,0,0,1,2,2,4,50.78,-106.5,4
-0.08,0,-66.4525918,22.07938311,8.142298889,15.15714291,maize,2,2,3,3,0,0,0,1,2,2,4,51.17,0.93,9
-0.097560976,0,-66.4525918,22.07938311,8.142298889,15.15714291,maize,2,2,1,1,0,0,0,1,2,2,4,51.17,0.93,9
-0.192982456,0,-258.7858957,31.85996369,9.870711263,23.90000038,maize,2,2,1,1,0,0,0,1,1,1,8,37.45,49.62,1
0.146031746,1,-121.4791059,22.76541827,3.768566009,14.66000004,barley.spring,1,1,1,1,1,1,0,1,2,2,8,52.85,-104.6,2
-0.028037383,0,-196.8745303,23.95811971,3.558947655,14.63999996,barley.spring,1,1,1,1,1,1,0,0,2,2,8,52.85,-104.6,3
-0.164179104,0,-116.965779,24.70429254,2.152213312,14.07999983,barley.spring,1,1,1,1,1,1,0,0,2,2,8,52.85,-104.6,4
-0.048859935,0,-137.9365021,24.6779352,2.598487608,15.18000011,barley.spring,1,1,1,1,1,1,0,0,2,2,8,52.85,-104.6,5
0.144508671,1,-121.4791059,22.76541827,3.768566009,14.66000004,wheat.spring,1,1,1,1,1,1,0,1,2,2,8,52.85,-104.6,2
-0.034334764,0,-196.8745303,23.95811971,3.558947655,14.63999996,wheat.spring,1,1,1,1,1,1,0,0,2,2,8,52.85,-104.6,3
0.069958848,1,-116.965779,24.70429254,2.152213312,14.07999983,wheat.spring,1,1,1,1,1,1,0,0,2,2,8,52.85,-104.6,4
0.022044088,1,-137.9365021,24.6779352,2.598487608,15.18000011,wheat.spring,1,1,1,1,1,1,0,0,2,2,8,52.85,-104.6,5
-0.118309859,0,-173.4707339,27.59334047,9.275937973,23.23999977,wheat.winter,1,1,1,1,0,0,3,3,1,1,4,29.02,79.49,1
-0.268537074,0,-322.9754612,31.623039,9.876240392,24.58000031,wheat.winter,1,1,1,1,0,0,3,3,1,1,4,29.02,79.49,2
-0.173873874,0,97.57335584,33.52885585,10.8174174,22.89999989,cotton,1,1,1,1,0,0,0,1,2,2,8,32.42,-85.88,2
0.007161458,1,-6.272487536,32.78787435,7.811042277,23.0571428,cotton,1,1,1,1,0,0,0,1,2,2,8,32.42,-85.88,3
0.104651163,1,-31.20495556,35.26952337,5.142829895,22.95714283,cotton,1,1,1,1,0,0,0,1,2,2,8,32.42,-85.88,4
-0.525114155,0,189.9228423,31.09053286,10.40166117,22.01666673,maize,1,1,1,1,1,1,0,0,2,2,4,34.28,-85.97,2
-0.274111675,0,204.3001602,32.1129367,11.09104411,22.76666705,maize,1,1,1,1,1,1,0,0,2,2,4,34.28,-85.97,3
-0.23853211,0,256.7714787,31.5059401,8.817760213,21.95000013,maize,1,1,1,1,1,1,0,0,2,2,4,34.28,-85.97,4
-0.052380952,0,480.0857131,15.0189209,-4.704315186,6.333333241,barley.winter,1,1,1,1,0,0,0,0,2,2,3,55.94,-3.21,2
-0.392086331,0,-239.4150244,31.69535188,19.33568115,29.97142873,maize,1,1,2,2,1,1,3,3,2,2,8,-17.85,-63,7
-0.013215859,0,296.7556018,30.36019011,18.27191366,27.22857176,sorghum,1,1,2,2,1,1,3,3,2,2,8,-17.85,-63,5
